comment,sentiment
الخدمة ممتازة جدا,positive
التطبيق سيء للغاية,negative
المنتج عادي,neutral
صراحة تجربة حلوة,positive
أسوأ خدمة شفتها بحياتي,negative
التوصيل كان سريع والتغليف رائع,positive
الدعم الفني ما رد علي أبداً,negative
الجودة متوسطة، لا أكثر ولا أقل,neutral
أنصح الجميع بالتجربة بدون تردد,positive
ندمت بصراحة على الشراء,negative
مو حلو بس مو سيء,neutral
تجربة رائعة وتعامل راقي,positive
سعر ممتاز مقابل الجودة,positive
السعر غالي وما بستاهل,negative
الأداء جيد لكن يحتاج تحسين,neutral
شكراً لكم على هالخدمة الجميلة,positive
الموظف كان وقح وما ساعدني,negative
الموقع بسيط وسهل الاستخدام,positive
الموقع بطيء وبتعلق,negative
ما في شي جديد، عادي جداً,neutral
يا سلام على الإبداع شغل مرتب,positive
للأسف المنتج وصل خربان,negative
الخدمة سريعة فوق المتوقع,positive
تجربة سيئة جداً ومخيبة,negative
الطلب ما كان مثل الصور,negative
المنتج نفس الوصف تماماً,positive
تعاملهم محترم جدا,positive
بصراحة توقعت أفضل من هيك,neutral
الشحن تأخر كتير,negative
جودة ممتازة جداً ومريحة,positive
اللون مختلف شوي بس عادي,neutral
الخدمة جيدة نوعاً ما,neutral
موظف الاستقبال كان راقي,positive
النظام ما بفتح معي نهائياً,negative
ما حسيت بفرق كبير,neutral
يا ريت كل الشركات مثلهم,positive
ردهم بطيء وما في اهتمام,negative
شغل مرتب وبالتزام,positive
الكابل انقطع بعد يومين,negative